Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Panthers,40,20,0,4,482,805,323
2,Cowboys,30,15,0,9,95,660,565
3,Roosters,30,15,0,9,85,616,531
4,Warriors,28,14,0,10,119,648,529
5,Sharks,28,14,0,10,109,655,546
6,Storm,26,13,0,11,80,642,562
7,Broncos,26,13,0,11,52,586,534
8,Tigers,26,13,0,11,15,566,551
9,Rabbitohs,24,12,0,12,1,638,637
10,Knights,24,12,0,12,-19,575,594
11,Manly,22,11,0,13,-39,601,640
12,Bulldogs,22,11,0,13,-77,481,558
13,Dolphins,20,10,0,14,-123,524,647
14,Titans,18,9,0,15,-141,480,621
15,Eels,18,9,0,15,-177,571,748
16,Raiders,18,9,0,15,-179,509,688
17,Dragons,10,5,0,19,-283,388,671
