Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,14,7,0,4,3,32,16,0,8,5.051411223690653,4.731515699615934,9.782926923306592,0.05230219914425627,3.3e-05,0.940752,0.72057,0.202033,0.833394,0.661717,0.392679,0.223741,-0.28686851727102963
2,Raiders,20,10,0,3,1,36,18,0,6,4.145964591512683,2.4402160040021905,6.586180595514876,1.004327957951134,0.0,0.988208,0.87984,0.36677,0.923102,0.700477,0.346746,0.163396,-3.124059020645025
3,Roosters,10,5,0,7,7,24,12,0,12,5.457914029967867,-0.11779635647863534,5.340117673489234,0.7254061071779994,0.006413,0.513225,0.117042,0.003468,0.355979,0.223354,0.121446,0.069298,0.7240479846857878
4,Bulldogs,18,9,0,2,2,34,17,0,7,0.9760611044816516,4.169967396208595,5.146028500690247,-0.8074438749058608,4e-06,0.944971,0.724588,0.25292,0.815713,0.596009,0.298714,0.144914,0.5517992267747117
5,Sharks,14,7,0,5,5,28,14,0,10,3.3009971118327455,1.2367521244428465,4.537749236275594,0.5071224508247333,0.000339,0.822281,0.406909,0.046374,0.611746,0.407219,0.206988,0.102941,-0.6709878240057483
6,Panthers,9,4,1,7,8,23,11,1,12,0.10794440350205936,2.9974484596606055,3.1053928631626677,-0.4128215370558435,0.022321,0.407699,0.062406,0.001219,0.259684,0.148771,0.073219,0.038939,-0.9955643753963025
7,Manly,12,6,0,6,6,26,13,0,11,-0.5017111874559874,3.5852266042234135,3.0835154167674284,0.764359025413261,0.002327,0.655503,0.199502,0.015163,0.433175,0.260158,0.126874,0.062816,-0.7263654343432352
8,Warriors,18,9,0,3,4,32,16,0,8,-0.7913556256848437,2.0007115618015425,1.2093559361167021,0.32529392656407125,4.2e-05,0.905544,0.572865,0.101006,0.697911,0.435381,0.180758,0.073691,-2.1794045374826694
9,Dolphins,10,5,0,7,10,22,11,0,13,-0.6645823523139147,1.3706734282859587,0.7060910759720467,1.116035350780076,0.011101,0.448875,0.090953,0.002024,0.275344,0.15116,0.069822,0.033474,-0.7441654967534079
10,Cowboys,11,5,1,5,9,23,11,1,12,3.444583137989879,-3.80394100990903,-0.3593578719191488,-1.6865603649172607,0.018855,0.439425,0.103365,0.004516,0.269476,0.14998,0.068604,0.032937,0.09666801608559562
11,Dragons,10,5,0,6,11,20,10,0,14,-0.9287794714980828,0.019952421139864507,-0.9088270503582183,1.3627791326599947,0.030253,0.285832,0.060232,0.003218,0.180484,0.102891,0.048612,0.024113,2.596618697270596
12,Eels,8,4,0,8,14,18,9,0,15,-4.907001526482838,2.5767944826170592,-2.3302070438657756,1.3572453716191708,0.089722,0.136585,0.00963,9.3e-05,0.078231,0.039262,0.017106,0.008523,0.15353796208289486
13,Rabbitohs,12,6,0,6,12,20,10,0,14,-2.274903674063245,-2.117849475413348,-4.392753149476592,0.727674697020445,0.037948,0.20571,0.025839,0.000771,0.110631,0.05375,0.022016,0.00989,1.6585226858123656
14,Broncos,10,5,0,7,13,18,9,0,15,-2.6909425951868378,-4.469369023259069,-7.160311618445904,-1.9460319695613186,0.081837,0.137211,0.014865,0.000316,0.068658,0.030721,0.011518,0.004861,-0.03416008911998869
15,Tigers,10,5,0,7,15,18,9,0,15,-0.6417821291101378,-7.197822101033859,-7.839604230143994,-1.0880951038055455,0.150941,0.072988,0.005772,8.1e-05,0.037552,0.01695,0.006471,0.00278,1.7427961086455144
16,Titans,6,3,0,8,16,16,8,0,16,0.20835135717606468,-8.19473569993647,-7.986384342760402,1.1663775317069014,0.278557,0.066486,0.004124,1.5e-05,0.034154,0.015331,0.00585,0.002548,-1.786976099848475
17,Knights,8,4,0,8,17,14,7,0,17,-10.359591584324548,1.8396786699992305,-8.519912914325316,-0.25005486267384,0.269307,0.028705,0.001498,1.3e-05,0.014766,0.006869,0.002577,0.001138,2.590636148490766
