, Cowboys, Titans, Cowboys, Titans, Cowboys, Titans, Cowboys, Titans, Cowboys, Titans, Cowboys, Titans, Cowboys, Titans, Cowboys, Titans
, Panthers, Panthers, Manly, Manly, Panthers, Panthers, Manly, Manly, Panthers, Panthers, Manly, Manly, Panthers, Panthers, Manly, Manly
, Raiders, Raiders, Raiders, Raiders, Dolphins, Dolphins, Dolphins, Dolphins, Raiders, Raiders, Raiders, Raiders, Dolphins, Dolphins, Dolphins, Dolphins
, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks
Storm, 0.01052340800568264, 0.03636363636363636, 0.030398496656165366, 0.05772561092938234, 0.013116474291710388, 0.038860103626943004, 0.011899095668729176, 0.0, 0.015159582335019375, 0.02277270311986033, 0.009361250663088589, 0.026512540431624158, 0.01095810351755123, 0.014239943040227838, 0.014187183516675396, 0.015074998115625234
Bulldogs, 0.02104681601136528, 0.05454545454545455, 0.022107997568120267, 0.0, 0.009368910208364563, 0.012953367875647668, 0.019831826114548628, 0.0, 0.009243647765255717, 0.02024240277320918, 0.015602084438480981, 0.03711755660427382, 0.012001732423984678, 0.02135991456034176, 0.01964379256155055, 0.03014999623125047
Sharks, 0.6550821483537443, 0.8363636363636363, 0.657712927651578, 0.6734654608427939, 0.6614450607105382, 0.7772020725388601, 0.7496430271299381, 0.7958287596048299, 0.07801638713875825, 0.1012120138660459, 0.05304708709083534, 0.10605016172649663, 0.0850557558743262, 0.11035955856176577, 0.08075781386415226, 0.06029999246250094
Cowboys, 0.4867076202628221, 2.2636363636363637, 0.46426794893052564, 2.6746199730613816, 0.515290061460051, 2.461139896373057, 0.6147866095510075, 2.9363336992316134, 0.3874937143195196, 2.0799068849472433, 0.36664898430430304, 2.1263057426162577, 0.42840966609093134, 2.2783908864364544, 0.45944648157848783, 2.3969247003844125
Panthers, 0.824772102445377, 0.9272727272727272, 3.5732051069474386, 4.425630171252646, 0.7813671113776045, 0.8290155440414507, 3.565762335395843, 4.69264544456641, 0.6185849084509125, 0.7337871005288328, 2.9487939588729053, 3.7806882655496046, 0.6240900860472034, 0.7796368814524741, 3.0207787672428843, 3.5124745609406802
Raiders, 0.0657713000355165, 0.1090909090909091, 0.06356049300834578, 0.05772561092938234, 0.5190376255433968, 0.7772020725388601, 0.47596382674916704, 0.7409440175631175, 0.04104179607773538, 0.08096961109283672, 0.043685836427746746, 0.09014263746752214, 0.42266970710554735, 0.47703809184763263, 0.3830539549502357, 0.5200874349890706
Roosters, 3.0794122676628826, 3.972727272727273, 3.064721162880672, 4.387146430633058, 3.2510118423025034, 4.3782383419689115, 3.3714104394732667, 4.171240395170143, 2.629263170349336, 3.26408744717998, 2.73582550628764, 3.2928575216077207, 2.8892866274610074, 3.4745461018155925, 3.000043652872359, 3.6858370392703703
Broncos, 0.33017192617829283, 0.5909090909090909, 0.3924169568341348, 0.3655955358860881, 0.3841253185429471, 0.5181347150259068, 0.3411074091702364, 0.43907793633369924, 0.255494424231668, 0.3339996457579515, 0.24417262146222735, 0.29694045283419057, 0.2958687949738832, 0.3275186899252403, 0.27064780862580756, 0.40702494912188136
Manly, 3.2859341497744046, 3.954545454545454, 0.6964019233957884, 0.7696748123917645, 3.5302053665117676, 4.170984455958549, 0.5989211486593686, 0.8507135016465421, 2.8725559795308664, 3.5044659801118394, 0.5445127469029862, 0.6575110027042791, 3.011913023966938, 3.595585617657529, 0.5511175135323904, 0.6632999170875103
Dolphins, 3.296457557780087, 3.9, 3.3604156303542805, 4.098518375986146, 0.6633188427522111, 0.7772020725388601, 0.6861811835633825, 0.6586169045005488, 2.775312805040376, 3.1755269350471904, 2.86688301557088, 3.298160029694045, 0.4607621621903683, 0.6123175507297971, 0.5183778592631395, 0.5200874349890706
Warriors, 0.8234566764446666, 0.9727272727272727, 0.8566849057646604, 0.9236097748701174, 0.921900764503073, 1.1398963730569949, 0.9281294621608758, 1.1800219538968169, 0.6599964504392581, 0.8122264112750183, 0.6420257746434924, 0.8537038018982979, 0.7091458419215295, 0.8259166963332146, 0.6984459577440195, 0.8140498982437627
Rabbitohs, 3.7095013220031308, 4.7272727272727275, 3.7058530923561603, 4.983644410236675, 3.874981262179583, 5.090673575129534, 4.132952562271934, 5.5708013172338084, 3.193125684029935, 4.131980466081324, 3.1602022030143226, 3.839015854499178, 3.2456858990080306, 4.257742969028124, 3.333988126418718, 4.273761965779754
Dragons, 5.519527498980545, 6.609090909090909, 5.339081412701044, 6.907831441216087, 5.557637535601859, 6.670984455958549, 5.695700460098366, 6.888035126234906, 4.698361286124175, 5.7614938893246626, 4.663463038661965, 5.641868603849621, 4.752686039897934, 5.927376290494838, 4.793085385018334, 5.924474259440717
Eels, 19.71297404664501, 22.5, 19.67611783562704, 23.321146815470463, 20.725903162944086, 24.365284974093264, 21.180390290337932, 24.20417124039517, 17.862424941580144, 21.267174413602895, 17.787156364090244, 20.738109125616415, 18.947604610752506, 22.33179067283731, 18.983542867120658, 21.91150976106128
Tigers, 5.585298799016061, 7.363636363636364, 5.734261869231194, 6.753896478737734, 5.490181382101634, 6.243523316062176, 5.5330794859590675, 6.28430296377607, 16.660380986186293, 19.11894941929607, 16.890036508877586, 19.242801845272815, 16.53003824899942, 18.988964044143824, 16.603370001746114, 19.657797542775306
