Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Storm,34,17,0,7,247,726,479
2,Bulldogs,34,17,0,7,182,554,372
3,Sharks,30,15,0,9,142,601,459
4,Raiders,30,15,0,9,124,598,474
5,Broncos,28,14,0,10,102,596,494
6,Cowboys,28,14,0,10,62,583,521
7,Warriors,28,14,0,10,-1,494,495
8,Panthers,24,12,0,12,85,592,507
9,Dolphins,24,12,0,12,36,501,465
10,Manly,24,12,0,12,27,551,524
11,Roosters,22,11,0,13,-55,527,582
12,Rabbitohs,22,11,0,13,-103,400,503
13,Dragons,20,10,0,14,-72,496,568
14,Tigers,16,8,0,16,-150,507,657
15,Titans,16,8,0,16,-200,471,671
16,Knights,16,8,0,16,-209,313,522
17,Eels,16,8,0,16,-216,422,638
