Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,36,18,0,6,174,659,485
2,Storm,34,17,0,7,249,699,450
3,Bulldogs,32,16,0,8,117,513,396
4,Warriors,30,15,0,9,35,500,465
5,Panthers,29,14,1,9,106,551,445
6,Sharks,28,14,0,10,67,556,489
7,Dolphins,26,13,0,11,193,685,492
8,Broncos,26,13,0,11,124,636,512
9,Roosters,24,12,0,12,42,605,563
10,Manly,22,11,0,13,-6,497,503
11,Tigers,20,10,0,14,-145,467,612
12,Cowboys,19,9,1,14,-186,506,692
13,Dragons,18,9,0,15,-61,533,594
14,Knights,16,8,0,16,-156,359,515
15,Eels,16,8,0,16,-156,446,602
16,Titans,14,7,0,17,-168,505,673
17,Rabbitohs,14,7,0,17,-230,426,656
