Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,28,14,0,5,2,34,17,0,7,4.5805719643568565,3.3069769498916304,7.887548914248493,-1.165443185960348,0.0,0.999941,0.924172,0.266707,0.958457,0.773207,0.434124,0.232947,3.917349738001132
2,Panthers,23,11,1,7,5,29,14,1,9,-0.05984303779024591,7.3183261311870025,7.258483093396756,0.38307636721671945,0.0,0.964244,0.368009,0.00209,0.696651,0.457877,0.254396,0.141676,1.8094840448377343
3,Raiders,32,16,0,4,1,36,18,0,6,4.5289974398822395,1.4953506270507768,6.02434806693302,0.5234942787028528,0.0,1.0,0.998869,0.631354,0.99936,0.794365,0.395751,0.18937,1.0190261424268343
4,Roosters,18,9,0,10,9,24,12,0,12,6.380814076196899,-0.9182547598680029,5.462559316328896,-0.009945460000279294,0.0,0.347757,0.003809,0.0,0.209036,0.113974,0.058164,0.033258,0.5325315892678987
5,Dolphins,20,10,0,9,7,26,13,0,11,4.3972174678225,0.9908660827549662,5.388083550577469,-0.34079422657430575,0.0,0.756187,0.079499,0.0,0.464074,0.252519,0.125532,0.067514,1.4072352916204571
6,Sharks,24,12,0,8,6,28,14,0,10,-0.46824262681126927,4.166776185755203,3.6985335589439323,0.7623220196092766,0.0,0.958091,0.312039,0.000147,0.629339,0.366348,0.17291,0.081933,-2.5816873596600884
7,Bulldogs,28,14,0,5,3,32,16,0,8,-6.093263487405692,8.977267771472746,2.8840042840670557,-0.36373874107584686,0.0,0.999579,0.793071,0.096932,0.875757,0.611337,0.2804,0.126492,5.002983791265573
8,Broncos,22,11,0,8,8,26,13,0,11,0.43582775223034753,1.5550232458761268,1.990850998106476,0.1718217837259468,0.0,0.851168,0.171342,0.000335,0.479803,0.255877,0.117732,0.056817,1.6492363615164876
9,Warriors,24,12,0,7,4,30,15,0,9,-3.21522365510737,3.923017728517152,0.7077940734097843,-0.3688525476592342,0.0,0.934649,0.347489,0.002435,0.59137,0.33023,0.142436,0.06102,-1.8013947802417776
10,Dragons,14,7,0,12,13,18,9,0,15,2.2861363408006765,-3.1416290668525884,-0.8554927260519087,0.6415788269162196,0.007664,0.011742,0.0,0.0,0.006443,0.003139,0.001487,0.000755,0.3564852435072563
11,Manly,18,9,0,10,10,22,11,0,13,-3.9659201804963544,2.9866109388777597,-0.9793092416185951,-1.0813364596325024,0.0,0.171951,0.001701,0.0,0.087989,0.040483,0.016845,0.008147,0.7347160264440143
12,Eels,12,6,0,13,15,16,8,0,16,-4.531685397927027,-0.06221813803090459,-4.593903535957928,0.6637330553779132,0.11258,2.2e-05,0.0,0.0,1.1e-05,5e-06,1e-06,1e-06,-3.129944289669786
13,Titans,10,5,0,14,16,14,7,0,17,-1.167896162752485,-4.294376518895028,-5.462272681647511,1.927941004507517,0.29039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3399633832625406
14,Cowboys,15,7,1,12,12,19,9,1,14,-0.9819718613811865,-5.042039395102841,-6.024011256484027,-0.6699318044250826,0.007754,0.002906,0.0,0.0,0.001036,0.000384,0.000137,4.4e-05,-4.271798421376933
15,Knights,12,6,0,13,14,16,8,0,16,-5.4983173565972585,-1.394670958410733,-6.8929883150079885,-1.5580114975730963,0.158276,2.6e-05,0.0,0.0,1e-05,7e-06,4e-06,2e-06,0.4659905716010419
16,Tigers,16,8,0,12,11,20,10,0,14,-2.8870097366960557,-4.704143095952239,-7.591152832648293,-0.27427178029323346,0.003931,0.001737,0.0,0.0,0.000664,0.000248,8.1e-05,2.4e-05,-1.6103112782042783
17,Rabbitohs,12,6,0,14,17,14,7,0,17,-2.590805425116171,-6.312269841479427,-8.903075266595597,-0.7046147861929954,0.419405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.362277406832113
