Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,36,18,0,6,166,639,473
2,Storm,34,17,0,7,291,705,414
3,Bulldogs,34,17,0,7,154,527,373
4,Warriors,30,15,0,9,36,518,482
5,Dolphins,26,13,0,11,221,715,494
6,Roosters,26,13,0,11,59,580,521
7,Panthers,25,12,1,11,41,474,433
8,Broncos,24,12,0,12,54,601,547
9,Sharks,24,12,0,12,1,557,556
10,Manly,22,11,0,13,18,522,504
11,Knights,20,10,0,14,-89,363,452
12,Dragons,20,10,0,14,-92,504,596
13,Cowboys,19,9,1,14,-193,502,695
14,Rabbitohs,18,9,0,15,-144,469,613
15,Eels,18,9,0,15,-151,442,593
16,Tigers,16,8,0,16,-139,449,588
17,Titans,14,7,0,17,-232,493,725
