Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,36,18,0,6,208,666,458
2,Bulldogs,36,18,0,6,161,589,428
3,Storm,34,17,0,7,307,728,421
4,Warriors,34,17,0,7,110,551,441
5,Dolphins,28,14,0,10,234,674,440
6,Sharks,28,14,0,10,57,578,521
7,Roosters,24,12,0,12,16,559,543
8,Panthers,23,11,1,12,3,491,488
9,Manly,20,10,0,14,-13,511,524
10,Broncos,20,10,0,14,-14,556,570
11,Rabbitohs,20,10,0,14,-147,426,573
12,Cowboys,19,9,1,14,-167,523,690
13,Dragons,18,9,0,15,-133,473,606
14,Eels,18,9,0,15,-142,422,564
15,Tigers,18,9,0,15,-144,483,627
16,Knights,16,8,0,16,-143,318,461
17,Titans,16,8,0,16,-193,506,699
