Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,8,4,0,2,1,36,18,0,6,10.093932643473993,3.42406769416714,13.51800033764113,0.5146622959439325,0.0001,0.954758,0.79687,0.326475,0.882859,0.737817,0.45951,0.272633,-0.48862923024071186
2,Bulldogs,12,6,0,0,2,36,18,0,6,-0.020239209538342573,9.455801980814183,9.43556277127584,2.168158563932225,3e-05,0.963091,0.82468,0.410424,0.888146,0.706266,0.375412,0.192524,-0.0026988267281509654
3,Sharks,8,4,0,3,3,30,15,0,9,3.7786830440773063,2.338208470010162,6.11689151408747,0.4601742878361772,0.002102,0.777815,0.423254,0.063909,0.60899,0.417068,0.211979,0.104631,-0.05760173364857312
4,Cowboys,6,3,0,3,5,28,14,0,10,3.5750807095279358,0.9456643930974802,4.520745102625419,1.6927909625657094,0.006541,0.69517,0.339865,0.046357,0.52984,0.354028,0.177985,0.087546,-0.19802619266098243
5,Panthers,4,2,0,5,7,24,12,0,12,2.930879470290602,1.4815170496289216,4.412396519919525,-0.5323924109195133,0.014379,0.56889,0.194462,0.013232,0.404676,0.250422,0.123782,0.061483,-1.3127933201303914
6,Raiders,10,5,0,2,4,30,15,0,9,0.9998396199623127,1.2058603461060213,2.205699966068333,1.6407798865852117,0.002074,0.789724,0.450329,0.070408,0.599814,0.383491,0.165313,0.070138,-1.6075300915876325
7,Manly,6,3,0,4,9,24,12,0,12,0.09129568535098764,0.5108684172439717,0.6021641025949647,-1.6647853010925535,0.021814,0.461558,0.139472,0.008519,0.306046,0.174784,0.078064,0.03547,-0.505223012785667
8,Dolphins,6,3,0,4,8,24,12,0,12,-2.046496185370772,2.285277505764754,0.23878132039398414,2.8233211313312108,0.018361,0.478322,0.161646,0.009112,0.323605,0.188413,0.083168,0.036967,-0.3387755199015993
9,Roosters,4,2,0,5,13,18,9,0,15,0.6714394572821503,-1.3923460530543341,-0.7209065957721812,-0.6720462516394559,0.092985,0.194795,0.038508,0.001876,0.128472,0.072764,0.034452,0.01736,2.1379731744163695
10,Dragons,6,3,0,3,11,24,12,0,12,-0.49520641081362693,-0.5461288030057578,-1.0413352138193852,1.2132960877823944,0.024824,0.44889,0.162762,0.012635,0.302602,0.176453,0.076604,0.033196,0.10911164808271338
11,Warriors,8,4,0,2,6,26,13,0,11,-2.880284845208425,1.2981135971528912,-1.5821712480555332,-0.9989260917443118,0.016126,0.527887,0.205866,0.019512,0.345677,0.192122,0.075844,0.030049,-1.549996236936199
12,Broncos,8,4,0,3,10,24,12,0,12,-1.6994704424549978,-0.06633031615355245,-1.7658007586085502,0.11583444366546143,0.01581,0.460106,0.143252,0.013439,0.291822,0.160383,0.067568,0.029151,0.9992386028531473
13,Rabbitohs,8,4,0,3,12,20,10,0,14,-6.356981522435586,0.5440013119307843,-5.812980210504801,-0.790575238016937,0.055532,0.229932,0.047541,0.00225,0.130598,0.062545,0.023152,0.009328,0.7673196874654109
14,Eels,4,2,0,5,17,16,8,0,16,-3.1185684023412814,-3.1393962131307314,-6.257964615472013,-0.14895252822401414,0.189692,0.102822,0.014032,0.000258,0.06057,0.029918,0.011974,0.005261,0.6585702073836849
15,Knights,4,2,0,4,14,18,9,0,15,-9.67549296219161,2.2141982375612987,-7.461294724630311,-2.038735179361947,0.166313,0.134329,0.024246,0.000638,0.077303,0.037164,0.014023,0.005623,0.26612887169867766
16,Tigers,6,3,0,4,15,16,8,0,16,-0.14300859475748218,-7.843618520003911,-7.986627114761393,-0.75774698280383,0.145422,0.114967,0.018721,0.00054,0.064539,0.030603,0.011426,0.004631,1.5619264959590629
17,Titans,4,2,0,4,16,16,8,0,16,-1.470072754322464,-6.95108839866002,-8.421161152982478,-1.821049502902963,0.227895,0.096944,0.014494,0.000416,0.054441,0.025759,0.009744,0.004009,0.1871971635430005
