Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Storm,36,18,0,6,306,763,457
2,Bulldogs,36,18,0,6,264,573,309
3,Sharks,30,15,0,9,139,596,457
4,Raiders,30,15,0,9,116,590,474
5,Cowboys,28,14,0,10,57,577,520
6,Warriors,26,13,0,11,-29,460,489
7,Panthers,24,12,0,12,79,586,507
8,Dolphins,24,12,0,12,42,500,458
9,Manly,24,12,0,12,27,550,523
10,Broncos,24,12,0,12,18,526,508
11,Dragons,24,12,0,12,4,509,505
12,Rabbitohs,20,10,0,14,-148,382,530
13,Roosters,18,9,0,15,-134,467,601
14,Knights,18,9,0,15,-180,309,489
15,Tigers,16,8,0,16,-150,505,655
16,Titans,16,8,0,16,-195,469,664
17,Eels,16,8,0,16,-217,419,636
