Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,36,18,0,6,177,650,473
2,Bulldogs,34,17,0,7,135,570,435
3,Storm,32,16,0,8,269,712,443
4,Warriors,32,16,0,8,42,512,470
5,Sharks,28,14,0,10,110,597,487
6,Manly,26,13,0,11,84,553,469
7,Roosters,24,12,0,12,27,597,570
8,Panthers,23,11,1,12,28,530,502
9,Cowboys,23,11,1,12,-39,577,616
10,Dolphins,22,11,0,13,64,560,496
11,Dragons,20,10,0,14,-42,498,540
12,Rabbitohs,20,10,0,14,-133,431,564
13,Broncos,18,9,0,15,-67,524,591
14,Eels,18,9,0,15,-114,429,543
15,Tigers,18,9,0,15,-171,499,670
16,Titans,16,8,0,16,-185,521,706
17,Knights,14,7,0,17,-183,307,490
