Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,34,17,0,5,2,36,18,0,6,4.303909216093256,5.667431336846798,9.971340552940056,0.6849002714352811,0.0,1.0,1.0,0.193822,1.0,0.868528,0.513437,0.289218,5.948268726634792
2,Raiders,36,18,0,4,1,38,19,0,5,4.940104190150744,3.8079167323525294,8.748020922503274,0.18024471184940757,0.0,1.0,1.0,0.806178,1.0,0.851673,0.475478,0.248229,-4.62779549070072
3,Roosters,22,11,0,11,8,24,12,0,12,8.031520044110973,-0.252796475310624,7.778723568800353,0.7757787394547752,0.0,0.714299,0.0,0.0,0.392268,0.201607,0.097699,0.0534,3.5154235416418027
4,Panthers,25,12,1,9,7,27,13,1,10,0.4955192423893753,6.20508208135995,6.700601323749325,-0.18054470527046318,0.0,1.0,0.024672,0.0,0.585747,0.278633,0.122344,0.061747,0.4438096694215794
5,Bulldogs,30,15,0,7,3,32,16,0,8,-3.147670580490136,7.572729075798608,4.4250584953084715,0.5084660848249218,0.0,1.0,0.902088,0.0,0.941087,0.664868,0.298667,0.131631,5.531983992201592
6,Sharks,26,13,0,9,6,28,14,0,10,1.0848920401370337,3.2784746205168243,4.36336666065386,0.8296317243203744,0.0,1.0,0.283667,0.0,0.637189,0.3541,0.162389,0.074457,-4.98390459191683
7,Broncos,26,13,0,9,5,28,14,0,10,2.709220618974005,1.4085932654952238,4.11781388446923,0.700640425301034,0.0,1.0,0.218893,0.0,0.586836,0.317136,0.144566,0.069278,4.5302617120106135
8,Warriors,28,14,0,8,4,30,15,0,9,-2.587653538104444,4.0083789991612635,1.4207254610568192,0.24189581011843111,0.0,1.0,0.57068,0.0,0.745082,0.422992,0.171818,0.067002,-2.6520404857551716
9,Cowboys,19,9,1,13,12,19,9,1,14,1.9899187851399602,-2.9007359140587896,-0.91081712891883,1.7064334168155992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11781388446923
10,Manly,20,10,0,12,10,22,11,0,13,-2.554374749383988,1.0049996264207413,-1.5493751229632444,-0.1880177446495154,0.0,0.046044,0.0,0.0,0.020692,0.008286,0.002658,0.000993,-1.0583568477042467
11,Dolphins,20,10,0,12,9,22,11,0,13,5.00736263733156,-7.429852491948715,-2.4224898546171545,-2.6079667185862565,0.0,0.239657,0.0,0.0,0.091099,0.032177,0.010944,0.004045,-1.2181702799417904
12,Rabbitohs,18,9,0,14,15,18,9,0,15,-1.5147573484868628,-1.4257361211695891,-2.940493469656451,1.9867758676873801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.778723568800353
13,Dragons,16,8,0,14,13,18,9,0,15,-2.5648328661182007,-0.9726062903471135,-3.5374391564653127,-0.8978095437207871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5756131003930403
14,Eels,16,8,0,14,14,18,9,0,15,-5.9102517298243,2.155545881277199,-3.7547058485470988,0.27863390538167926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.486071109042657
15,Tigers,18,9,0,13,11,20,10,0,14,-0.998646239364647,-5.834454887419641,-6.833101126784286,1.1789421533125644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2181702799417904
16,Titans,10,5,0,17,16,12,6,0,18,-2.1290157146887285,-9.055345767698125,-11.184361482386855,-1.904656083919839,0.55572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.62779549070072
17,Knights,12,6,0,16,17,12,6,0,18,-7.066779862266554,-7.32608781687558,-14.392867679142132,-2.4946991337967237,0.44428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30433040605338046
