Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,38,19,0,5,197,673,476
2,Storm,36,18,0,6,266,699,433
3,Bulldogs,32,16,0,8,118,533,415
4,Warriors,30,15,0,9,34,506,472
5,Broncos,28,14,0,10,146,659,513
6,Sharks,28,14,0,10,89,585,496
7,Panthers,27,13,1,10,116,568,452
8,Roosters,24,12,0,12,79,633,554
9,Dolphins,22,11,0,13,83,685,602
10,Manly,22,11,0,13,3,525,522
11,Tigers,20,10,0,14,-129,485,614
12,Cowboys,19,9,1,14,-139,533,672
13,Dragons,18,9,0,15,-101,489,590
14,Eels,18,9,0,15,-130,448,578
15,Rabbitohs,18,9,0,15,-162,442,604
16,Titans,12,6,0,18,-213,508,721
17,Knights,12,6,0,18,-258,335,593
