Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Storm,38,19,0,5,386,799,413
2,Sharks,30,15,0,9,171,653,482
3,Panthers,30,15,0,9,142,643,501
4,Bulldogs,30,15,0,9,123,645,522
5,Manly,28,14,0,10,107,658,551
6,Raiders,28,14,0,10,95,575,480
7,Roosters,28,14,0,10,87,730,643
8,Knights,28,14,0,10,53,459,406
9,Warriors,24,12,0,12,9,553,544
10,Cowboys,24,12,0,12,-8,608,616
11,Broncos,20,10,0,14,-67,593,660
12,Dolphins,18,9,0,15,-110,467,577
13,Rabbitohs,18,9,0,15,-186,422,608
14,Tigers,16,8,0,16,-171,469,640
15,Dragons,16,8,0,16,-182,551,733
16,Titans,16,8,0,16,-200,525,725
17,Eels,14,7,0,17,-251,568,819
