Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,38,19,0,5,195,695,500
2,Storm,34,17,0,7,269,732,463
3,Bulldogs,34,17,0,7,159,531,372
4,Warriors,30,15,0,9,31,519,488
5,Panthers,29,14,1,9,117,542,425
6,Sharks,28,14,0,10,51,548,497
7,Dolphins,26,13,0,11,200,709,509
8,Broncos,26,13,0,11,64,592,528
9,Manly,24,12,0,12,26,544,518
10,Roosters,22,11,0,13,7,616,609
11,Cowboys,19,9,1,14,-160,520,680
12,Tigers,18,9,0,15,-187,439,626
13,Dragons,16,8,0,16,-92,545,637
14,Knights,16,8,0,16,-151,361,512
15,Rabbitohs,16,8,0,16,-169,439,608
16,Eels,16,8,0,16,-175,465,640
17,Titans,14,7,0,17,-186,477,663
