Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Panthers,42,21,0,3,578,848,270
2,Sharks,30,15,0,9,159,662,503
3,Storm,28,14,0,10,154,671,517
4,Broncos,28,14,0,10,92,564,472
5,Cowboys,28,14,0,10,70,605,535
6,Knights,28,14,0,10,34,568,534
7,Warriors,26,13,0,11,50,604,554
8,Roosters,26,13,0,11,36,568,532
9,Rabbitohs,26,13,0,11,26,619,593
10,Tigers,24,12,0,12,-29,507,536
11,Eels,22,11,0,13,-78,605,683
12,Manly,20,10,0,14,-66,583,649
13,Dolphins,20,10,0,14,-125,513,638
14,Bulldogs,18,9,0,15,-167,423,590
15,Raiders,16,8,0,16,-231,447,678
16,Titans,14,7,0,17,-236,412,648
17,Dragons,12,6,0,18,-263,389,652
