Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Storm,38,19,0,5,344,767,423
2,Manly,30,15,0,9,187,688,501
3,Panthers,30,15,0,9,182,653,471
4,Sharks,30,15,0,9,160,614,454
5,Bulldogs,30,15,0,9,94,515,421
6,Warriors,26,13,0,11,52,495,443
7,Roosters,26,13,0,11,39,613,574
8,Raiders,26,13,0,11,21,525,504
9,Broncos,24,12,0,12,-15,564,579
10,Knights,24,12,0,12,-30,389,419
11,Cowboys,22,11,0,13,-64,534,598
12,Titans,20,10,0,14,-111,537,648
13,Tigers,20,10,0,14,-115,480,595
14,Rabbitohs,18,9,0,15,-164,400,564
15,Dolphins,16,8,0,16,-173,422,595
16,Dragons,16,8,0,16,-183,526,709
17,Eels,16,8,0,16,-224,455,679
