Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Panthers,6,3,0,0,1,36,18,0,6,3.394657208027959,7.909317991845285,11.303975199873245,1.0415974629314548,1.4e-05,0.983998,0.894255,0.523709,0.948359,0.823186,0.508246,0.297607,-0.6109655194331417
2,Storm,4,2,0,1,2,32,16,0,8,4.782379115724431,4.845136051103312,9.62751516682774,0.41975820280241755,0.000146,0.923817,0.695295,0.20269,0.834304,0.67143,0.392627,0.218629,0.4521227986481717
3,Sharks,2,1,0,2,3,28,14,0,10,1.3532750092170092,4.288336757571566,5.641611766788574,-0.39428058133567373,0.002405,0.76534,0.411962,0.049762,0.611668,0.420864,0.209073,0.100949,-0.9896886096065969
4,Roosters,2,1,0,2,7,26,13,0,11,3.8036950098152658,1.1538501315610974,4.957545141376366,-0.9235527625047447,0.005227,0.652686,0.281965,0.029567,0.491639,0.318968,0.15621,0.075799,0.12836074634815883
5,Broncos,2,1,0,2,6,26,13,0,11,3.07253044971374,1.2122314146087725,4.284761864322513,-0.39548070510775063,0.005605,0.652784,0.287458,0.030389,0.488505,0.313049,0.149458,0.070304,-0.297744692878721
6,Warriors,6,3,0,0,4,28,14,0,10,-0.17825972925361266,1.9509021450901591,1.772642415836547,1.1240865596887513,0.001958,0.772867,0.416109,0.068016,0.587336,0.366602,0.152788,0.062381,-0.34085197924793104
7,Bulldogs,4,2,0,0,5,28,14,0,10,-2.3485341410898473,3.992341948694354,1.6438078076045057,-0.05820927567115636,0.005644,0.647158,0.292102,0.041095,0.46719,0.282706,0.12114,0.051219,0.4839321116588582
8,Dolphins,4,2,0,1,8,26,13,0,11,4.1308892098844865,-3.242524260160719,0.8883649497237683,-0.00806041053986021,0.009862,0.559335,0.220822,0.022153,0.386198,0.222826,0.092832,0.038549,0.31882079806548613
9,Raiders,2,1,0,2,11,22,11,0,13,0.10383058391498956,-0.29180648124124886,-0.18797589732625936,-0.44467236309539454,0.025261,0.387424,0.106679,0.007792,0.242659,0.128391,0.052426,0.021706,0.14486246720142987
10,Manly,0,0,0,2,10,22,11,0,13,0.6586867140216732,-0.9610990855001896,-0.3024123714785174,-0.4866852105377202,0.042537,0.337942,0.091549,0.005844,0.21231,0.112785,0.046036,0.019385,-0.1755525025969898
11,Eels,4,2,0,1,9,24,12,0,12,0.14703538643062614,-1.8407276952653238,-1.6936923088346976,-0.06720353682760291,0.019575,0.430319,0.131955,0.011381,0.265478,0.135973,0.051119,0.019496,-0.20508951993028227
12,Cowboys,2,1,0,2,13,20,10,0,14,0.6569230278870647,-3.7858583688449983,-3.1289353409579332,-0.5273418498504879,0.072725,0.204932,0.042398,0.001863,0.116125,0.054807,0.020039,0.007616,0.9030038997581682
13,Rabbitohs,4,2,0,1,12,20,10,0,14,-2.9436827770744696,-1.2415767554729578,-4.185259532547427,0.3560735762901603,0.044196,0.259434,0.060732,0.003343,0.144182,0.066832,0.02297,0.008148,0.8750455722366128
14,Dragons,0,0,0,3,15,18,9,0,15,-1.7768658718785628,-4.115547719058861,-5.892413590937426,-0.14581894101441015,0.152664,0.111803,0.016325,0.000403,0.056071,0.023197,0.007462,0.002555,-1.0167997635721284
15,Tigers,2,1,0,1,16,18,9,0,15,-3.071991178434024,-3.9749949471079664,-7.0469861255419906,0.4448331908995872,0.127549,0.126966,0.021542,0.00097,0.062667,0.025638,0.008036,0.002662,0.46777427764204177
16,Knights,4,2,0,1,14,20,10,0,14,-5.005756196765432,-2.8817989794149854,-7.887555176180417,0.33744266078454815,0.094289,0.154877,0.026229,0.00098,0.073099,0.028385,0.008334,0.002615,-0.5301711169708077
17,Titans,0,0,0,3,17,14,7,0,17,-2.718945545802702,-7.076048422745885,-9.794993968548585,-0.27248601691211777,0.390343,0.028318,0.002623,4.3e-05,0.01221,0.004361,0.001204,0.00038,0.08428652905291853
