Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Panthers,36,18,0,6,331,655,324
2,Storm,32,16,0,8,260,681,421
3,Sharks,28,14,0,10,128,587,459
4,Warriors,28,14,0,10,126,601,475
5,Bulldogs,28,14,0,10,31,478,447
6,Broncos,26,13,0,11,62,595,533
7,Roosters,26,13,0,11,45,604,559
8,Dolphins,26,13,0,11,31,642,611
9,Eels,24,12,0,12,-59,551,610
10,Manly,22,11,0,13,-29,564,593
11,Raiders,22,11,0,13,-41,521,562
12,Rabbitohs,20,10,0,14,-96,483,579
13,Cowboys,20,10,0,14,-106,551,657
14,Knights,20,10,0,14,-150,460,610
15,Dragons,18,9,0,15,-136,504,640
16,Tigers,18,9,0,15,-140,484,624
17,Titans,14,7,0,17,-255,462,717
