Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Panthers,32,16,0,8,202,613,411
2,Storm,32,16,0,8,198,645,447
3,Sharks,30,15,0,9,173,611,438
4,Roosters,30,15,0,9,170,657,487
5,Broncos,28,14,0,10,98,626,528
6,Manly,26,13,0,11,38,581,543
7,Dolphins,24,12,0,12,23,639,616
8,Bulldogs,24,12,0,12,20,519,499
9,Raiders,24,12,0,12,7,555,548
10,Cowboys,22,11,0,13,-27,592,619
11,Warriors,22,11,0,13,-36,501,537
12,Eels,22,11,0,13,-44,540,584
13,Dragons,20,10,0,14,-109,512,621
14,Rabbitohs,20,10,0,14,-120,477,597
15,Knights,18,9,0,15,-174,433,607
16,Tigers,16,8,0,16,-206,457,663
17,Titans,16,8,0,16,-211,511,722
