Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,38,19,0,5,184,668,484
2,Storm,36,18,0,6,275,702,427
3,Bulldogs,32,16,0,8,107,528,421
4,Warriors,30,15,0,9,30,497,467
5,Panthers,29,14,1,9,126,578,452
6,Broncos,28,14,0,10,123,636,513
7,Sharks,28,14,0,10,86,582,496
8,Roosters,26,13,0,11,125,659,534
9,Dolphins,24,12,0,12,120,678,558
10,Manly,20,10,0,14,-34,481,515
11,Dragons,20,10,0,14,-49,516,565
12,Tigers,20,10,0,14,-121,478,599
13,Cowboys,19,9,1,14,-145,520,665
14,Rabbitohs,18,9,0,15,-214,418,632
15,Eels,16,8,0,16,-175,427,602
16,Knights,14,7,0,17,-228,340,568
17,Titans,12,6,0,18,-209,500,709
