Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Storm,38,19,0,5,382,779,397
2,Bulldogs,34,17,0,7,206,542,336
3,Raiders,30,15,0,9,110,589,479
4,Cowboys,28,14,0,10,54,574,520
5,Sharks,26,13,0,11,82,534,452
6,Manly,26,13,0,11,54,586,532
7,Warriors,26,13,0,11,-17,487,504
8,Broncos,24,12,0,12,16,547,531
9,Panthers,22,11,0,13,-5,536,541
10,Dragons,22,11,0,13,-25,519,544
11,Roosters,22,11,0,13,-47,500,547
12,Rabbitohs,22,11,0,13,-91,409,500
13,Dolphins,20,10,0,14,-43,439,482
14,Tigers,20,10,0,14,-84,524,608
15,Knights,20,10,0,14,-125,308,433
16,Titans,16,8,0,16,-189,475,664
17,Eels,14,7,0,17,-278,378,656
