Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Panthers,8,4,0,0,1,38,19,0,5,4.376784869576,7.535818653905539,11.912603523481542,0.8837936321978467,4e-06,0.991979,0.938468,0.646035,0.971091,0.861248,0.542309,0.32416,-0.7214366335707976
2,Storm,4,2,0,2,2,30,15,0,9,4.455542714658653,4.41907329058816,8.87461600524681,-0.263393862948012,0.000528,0.881543,0.599968,0.115329,0.774487,0.600228,0.339977,0.183782,0.6172333682310025
3,Sharks,4,2,0,2,3,30,15,0,9,1.9788773412652072,4.171475752962982,6.15035309422819,-0.5446189073914192,0.00125,0.843093,0.530991,0.069582,0.708832,0.510972,0.256116,0.122321,-1.1712430935844549
4,Roosters,4,2,0,2,5,28,14,0,10,4.156052745904573,1.5526569819092013,5.708709727813776,-0.27561534279220723,0.002657,0.751086,0.391265,0.044769,0.599259,0.409856,0.204607,0.099261,0.28009177891522224
5,Broncos,4,2,0,2,4,28,14,0,10,2.8217714408189165,1.9461434189175222,4.767914859736439,0.12625023196659843,0.003511,0.735189,0.375386,0.040369,0.576796,0.384263,0.184001,0.085808,-0.35398392433740067
6,Bulldogs,4,2,0,1,8,24,12,0,12,-2.740421869190875,3.4720458588517937,0.731623989660917,-0.3622705483190192,0.01529,0.517796,0.192388,0.017708,0.353479,0.20139,0.083542,0.034502,0.9260051826021031
7,Warriors,6,3,0,1,6,26,13,0,11,-0.7391504893417984,1.3283702483614501,0.589219759019652,0.33206311651638537,0.006406,0.644098,0.277413,0.028903,0.452393,0.26168,0.104736,0.041639,0.09724698246659365
8,Dolphins,4,2,0,2,7,24,12,0,12,3.3975619081443162,-2.9909030229465046,0.40665888519781174,0.12544214208908758,0.016508,0.504302,0.181079,0.012746,0.340738,0.190585,0.077016,0.031216,0.12323825028827873
9,Raiders,2,1,0,3,10,22,11,0,13,0.2201492174412072,-0.9169242960863537,-0.696775078645146,-0.6964704515563581,0.046636,0.300403,0.070655,0.003522,0.182542,0.092271,0.036625,0.014957,0.12725328128496782
10,Manly,0,0,0,3,14,20,10,0,14,0.26195139089015035,-1.312710624336078,-1.050759233445929,-0.7361341645268574,0.078152,0.253706,0.058558,0.002323,0.154876,0.078449,0.031097,0.012696,-0.4237614699841732
11,Eels,4,2,0,2,9,24,12,0,12,0.5205794656111677,-2.8228402366809693,-2.3022607710698013,0.16212598765081532,0.033074,0.377774,0.107713,0.005881,0.228797,0.113213,0.040875,0.015124,-0.7605233569129439
12,Cowboys,4,2,0,2,11,22,11,0,13,1.0832029025153944,-3.4589492649395153,-2.3757463624241204,-0.02933450004219011,0.044325,0.314993,0.082626,0.003836,0.189033,0.092911,0.034042,0.012707,0.365470469852883
13,Rabbitohs,4,2,0,1,12,22,11,0,13,-2.9455683988929326,-1.2399023155017157,-4.185470714394648,0.35600318234108674,0.055472,0.275739,0.070953,0.003686,0.157971,0.073954,0.025494,0.009042,0.7539380015481376
14,Tigers,4,2,0,1,15,20,10,0,14,-2.4501018131225893,-3.4143589158658725,-5.864460728988462,0.8390083230840967,0.069978,0.237277,0.052851,0.002647,0.125862,0.054551,0.017269,0.005741,0.29984417445453393
15,Dragons,0,0,0,4,16,16,8,0,16,-2.5072860453357846,-3.9163187476364367,-6.423604792972223,-0.4946800941998151,0.245519,0.071117,0.008635,0.00013,0.035147,0.01394,0.004374,0.001491,-0.4800724485877163
16,Knights,6,3,0,1,13,22,11,0,13,-4.484547479056793,-2.4902431712363997,-6.974790650293194,0.3947531457832625,0.055566,0.256611,0.056442,0.002465,0.129261,0.053562,0.016009,0.004962,-0.6055260038140955
17,Titans,2,1,0,3,17,14,7,0,17,-2.9204097229168697,-6.34742178923474,-9.26783151215161,0.22315357042249173,0.325124,0.043294,0.004609,6.9e-05,0.019436,0.006927,0.001911,0.000591,0.32997081235842907
