Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Panthers,38,19,0,5,359,694,335
2,Storm,30,15,0,9,229,669,440
3,Sharks,30,15,0,9,148,610,462
4,Broncos,28,14,0,10,80,587,507
5,Roosters,28,14,0,10,73,618,545
6,Warriors,26,13,0,11,71,574,503
7,Dolphins,24,12,0,12,15,618,603
8,Bulldogs,24,12,0,12,-10,461,471
9,Eels,24,12,0,12,-84,565,649
10,Raiders,22,11,0,13,-66,524,590
11,Cowboys,22,11,0,13,-74,570,644
12,Rabbitohs,22,11,0,13,-93,487,580
13,Knights,22,11,0,13,-113,480,593
14,Manly,20,10,0,14,-60,548,608
15,Tigers,20,10,0,14,-82,516,598
16,Dragons,16,8,0,16,-158,478,636
17,Titans,14,7,0,17,-235,456,691
