Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,34,17,0,7,155,645,490
2,Bulldogs,34,17,0,7,134,572,438
3,Storm,32,16,0,8,279,751,472
4,Warriors,30,15,0,9,20,446,426
5,Sharks,28,14,0,10,105,594,489
6,Roosters,26,13,0,11,52,618,566
7,Manly,24,12,0,12,43,535,492
8,Cowboys,23,11,1,12,-11,596,607
9,Dolphins,22,11,0,13,63,556,493
10,Rabbitohs,22,11,0,13,-106,386,492
11,Panthers,21,10,1,13,19,558,539
12,Broncos,20,10,0,14,-21,551,572
13,Dragons,20,10,0,14,-65,505,570
14,Eels,20,10,0,14,-106,466,572
15,Tigers,18,9,0,15,-189,491,680
16,Knights,16,8,0,16,-162,336,498
17,Titans,16,8,0,16,-209,537,746
