Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Storm,36,18,0,6,324,727,403
2,Cowboys,32,16,0,8,201,721,520
3,Panthers,32,16,0,8,195,576,381
4,Roosters,30,15,0,9,153,700,547
5,Manly,28,14,0,10,116,642,526
6,Sharks,28,14,0,10,92,540,448
7,Bulldogs,28,14,0,10,83,550,467
8,Knights,26,13,0,11,60,443,383
9,Warriors,24,12,0,12,-4,528,532
10,Raiders,24,12,0,12,-15,472,487
11,Dolphins,22,11,0,13,-40,457,497
12,Eels,22,11,0,13,-64,648,712
13,Dragons,18,9,0,15,-140,578,718
14,Titans,18,9,0,15,-160,441,601
15,Broncos,16,8,0,16,-202,475,677
16,Rabbitohs,14,7,0,17,-262,415,677
17,Tigers,12,6,0,18,-341,465,806
