Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,36,18,0,6,175,624,449
2,Bulldogs,36,18,0,6,157,589,432
3,Storm,34,17,0,7,266,716,450
4,Warriors,32,16,0,8,71,545,474
5,Dolphins,26,13,0,11,193,667,474
6,Roosters,26,13,0,11,61,581,520
7,Sharks,26,13,0,11,33,585,552
8,Panthers,25,12,1,11,40,520,480
9,Broncos,22,11,0,13,18,593,575
10,Manly,20,10,0,14,-14,507,521
11,Knights,20,10,0,14,-94,351,445
12,Rabbitohs,20,10,0,14,-119,450,569
13,Tigers,18,9,0,15,-110,474,584
14,Eels,18,9,0,15,-118,448,566
15,Dragons,18,9,0,15,-130,474,604
16,Cowboys,17,8,1,15,-212,503,715
17,Titans,14,7,0,17,-218,510,728
