, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos, Bulldogs, Broncos
, Raiders, Raiders, Dragons, Dragons, Raiders, Raiders, Dragons, Dragons, Raiders, Raiders, Dragons, Dragons, Raiders, Raiders, Dragons, Dragons, Raiders, Raiders, Dragons, Dragons, Raiders, Raiders, Dragons, Dragons, Raiders, Raiders, Dragons, Dragons, Raiders, Raiders, Dragons, Dragons
, Cowboys, Cowboys, Cowboys, Cowboys, Storm, Storm, Storm, Storm, Cowboys, Cowboys, Cowboys, Cowboys, Storm, Storm, Storm, Storm, Cowboys, Cowboys, Cowboys, Cowboys, Storm, Storm, Storm, Storm, Cowboys, Cowboys, Cowboys, Cowboys, Storm, Storm, Storm, Storm
, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers
, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs
Storm, 71.32023917950343, 68.86000230070172, 70.91803473004208, 69.98066204072346, 89.32359494924486, 88.02040699777275, 89.99425888033446, 88.65460986828948, 75.82392776523702, 74.92732558139535, 76.73322862912273, 73.23467230443975, 92.26300100628453, 90.61784897025171, 92.44888738280808, 90.79822616407982, 72.7207233168834, 70.76096812443329, 72.96114432109309, 71.47609147609147, 89.94818746716426, 88.78472101209354, 90.91056954647728, 89.05982905982906, 77.55016722408027, 75.87778075582953, 78.30603276068717, 76.19426751592357, 92.80259441364159, 91.56090540363732, 93.26472386386794, 92.10323574730354
Roosters, 24.668356234902785, 26.093791939874993, 25.496355123570204, 26.15174610396997, 20.099034414459023, 21.51491500256991, 20.379502730712044, 21.802234221879374, 7.968397291196388, 8.284883720930232, 7.87525241193628, 7.568710359408033, 5.601017676432057, 6.084050706476336, 5.851123912797922, 6.341463414634147, 25.481791001765064, 26.65132175489991, 25.330913748932538, 26.507276507276504, 20.740411963984855, 22.61701460286481, 20.919515302664752, 22.786842786842787, 8.082497212931996, 8.335566872152238, 8.349980023971234, 10.35031847133758, 6.179167974334833, 6.862488551615857, 5.93030364785001, 5.87442218798151
Dolphins, 24.14168613630064, 22.972506614517428, 25.93492562081432, 25.230349220793997, 22.477841049764795, 22.16976642363557, 24.913515184525476, 24.7021513671038, 27.44920993227991, 25.784883720930235, 29.391967691272157, 27.653276955602536, 25.656458258178432, 25.142566561330863, 28.103467751044843, 27.328159645232812, 24.891034184647527, 24.935481620980678, 27.49786507258753, 26.735966735966738, 23.228681679015924, 23.24434531070296, 25.530645992030145, 25.594405594405593, 29.54292084726867, 27.5797373358349, 31.00279664402717, 26.671974522292995, 26.70781462496077, 26.854638231061102, 29.875687792948845, 27.75423728813559
Raiders, 98.81994218508692, 98.74228306300088, 90.9144787530374, 89.9215106358776, 98.57439960386233, 98.54181340541776, 89.98542638854131, 89.4060169709437, 98.85628291948834, 98.7936046511628, 91.2272829257348, 91.58562367864693, 98.77537071142419, 98.76866078239075, 90.53992996724274, 89.98891352549889, 99.05983213861172, 98.76543209876543, 92.22886421861656, 91.47609147609148, 98.75631804924002, 98.72617014602865, 90.89159370001897, 90.3962703962704, 99.03846153846155, 99.19592602519431, 92.32920495405513, 91.32165605095541, 98.95735258220874, 98.6261939029177, 91.49174648461381, 91.04391371340523
Bulldogs, 91.85245317388033, 71.87392154607156, 91.56640787056244, 70.72005460129678, 91.79153255756376, 71.69195332279988, 91.3927367475821, 70.64941001685666, 93.16027088036117, 74.01162790697674, 92.6856630020193, 72.85412262156447, 92.89715012626023, 73.76775271512113, 92.39805715576641, 73.73614190687361, 92.86408991030582, 74.42979702866708, 92.63450042698548, 74.15800415800416, 92.7072954220185, 73.49702017913778, 92.32291469001599, 72.65475265475266, 93.70122630992196, 76.1458054140981, 94.24690371554135, 73.08917197452229, 94.0579558531227, 76.40978673295827, 93.75382107193805, 75.26964560862865
Panthers, 15.206114125054448, 16.45385175811956, 16.197475256326676, 17.222159026276874, 11.926219361228027, 13.723325274599759, 12.870412624574938, 14.625296420102282, 16.636568848758465, 17.45639534883721, 17.298631366389948, 18.224101479915433, 12.946894757827184, 14.521811775816351, 14.125155314582628, 15.942350332594234, 14.804942185079788, 15.875008718699867, 15.510247651579848, 15.862785862785863, 11.433178137285095, 13.017112187641585, 12.534902003307218, 14.193214193214192, 15.997770345596432, 17.207183060841597, 16.100679184978027, 17.754777070063692, 12.60592112145622, 13.836189977757424, 13.603016099449766, 15.389060092449924
