Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,20,10,0,4,2,34,17,0,7,4.954172541731788,6.413274167304191,11.367446709035983,0.5738564833640639,0.0,0.986389,0.863054,0.272991,0.924526,0.767294,0.466114,0.271428,0.9815440338075472
2,Roosters,14,7,0,7,6,26,13,0,11,3.1267052934767525,3.3641643364953175,6.490869629972071,-0.15896249965475753,0.000924,0.658692,0.186399,0.004419,0.464086,0.29895,0.164241,0.092573,1.5211842783212803
3,Dolphins,16,8,0,8,5,26,13,0,11,6.739064613857618,-0.32280098222503617,6.416263631632585,0.842303963997456,2.9e-05,0.787174,0.242382,0.001556,0.551377,0.348052,0.18247,0.095279,-0.7699725501657186
4,Raiders,26,13,0,3,1,36,18,0,6,4.009913613092365,2.082072768720187,6.091986381812552,-0.1630958757277935,0.0,0.99948,0.966245,0.428573,0.978744,0.743865,0.353149,0.159902,-1.1441505133430745
5,Bulldogs,22,11,0,3,3,34,17,0,7,-3.3578282705212317,9.368895416349716,6.011067145828484,0.28368698711004786,0.0,0.985418,0.85579,0.259199,0.909697,0.681375,0.339512,0.161122,0.4433869127420339
6,Panthers,15,7,1,7,7,25,12,1,11,-6.132228510104209,10.114760812668354,3.9825323025641457,0.26678181104688914,0.001107,0.683057,0.134291,0.001339,0.423444,0.234731,0.110495,0.054484,-1.0668126032345493
7,Manly,14,7,0,8,10,22,11,0,13,-1.3804763112933598,1.7485025409286772,0.36802622963532095,-0.8981071202264849,0.003513,0.344389,0.041271,0.00041,0.200588,0.106424,0.048833,0.023972,2.344270967909892
8,Warriors,20,10,0,5,4,30,15,0,9,-1.3476355255060932,1.064582668780937,-0.2830528567251571,-0.49823800870181395,1e-06,0.910888,0.508497,0.02873,0.660785,0.383082,0.153306,0.059586,-2.983691820607852
9,Broncos,16,8,0,7,8,24,12,0,12,1.24728411176574,-1.6750800614562071,-0.42779594969046464,2.238840045305576,0.000816,0.580082,0.11375,0.002485,0.326746,0.170653,0.07427,0.034038,0.6842325184101491
10,Sharks,16,8,0,8,9,24,12,0,12,0.8074123972696885,-1.701996712399449,-0.8945843151297592,-0.8332936862365811,0.001201,0.496492,0.061624,0.000179,0.264006,0.127346,0.051868,0.022367,-1.1047826450081168
11,Knights,12,6,0,10,11,20,10,0,14,-5.76719976649516,3.5734937055855367,-2.193706060909622,1.4308675002102416,0.030196,0.095568,0.001584,0.0,0.051446,0.02448,0.010063,0.004791,1.1697382040326538
12,Dragons,12,6,0,8,12,20,10,0,14,-0.43979837630664265,-2.7402130578080452,-3.1800114341146863,-0.7551772452577269,0.033725,0.180163,0.017154,0.000113,0.100938,0.050668,0.021858,0.01003,1.693037110534899
13,Eels,10,5,0,10,15,18,9,0,15,-3.4993439620889633,-0.9283374343693431,-4.427681396458304,-0.7254077151205411,0.127878,0.04028,0.000558,0.0,0.022014,0.010663,0.004456,0.002105,1.5666467068486989
14,Rabbitohs,12,6,0,10,14,18,9,0,15,0.3483640031545234,-5.225878554427979,-4.877514551273455,0.42685452382403327,0.076904,0.072559,0.000762,0.0,0.035927,0.015635,0.005807,0.002518,-1.192866151409278
15,Cowboys,13,6,1,8,13,19,9,1,14,0.016339472672226518,-6.0672847158199925,-6.050945243147765,-1.3169508043382228,0.033391,0.139639,0.006145,6e-06,0.066081,0.028036,0.010176,0.004283,0.636931376134985
16,Tigers,10,5,0,10,16,16,8,0,16,-4.397561305419432,-2.5410546395599236,-6.938615944979349,0.301921248705745,0.166807,0.03372,0.000457,0.0,0.016807,0.007573,0.002944,0.001322,-0.699787218462827
17,Titans,8,4,0,11,17,14,7,0,17,-2.0154741336162547,-9.438810144436296,-11.454284278052548,-0.22923966914305952,0.523508,0.00601,3.7e-05,0.0,0.002788,0.001173,0.000438,0.0002,-1.1382707205895513
