Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,4,2,0,0,1,34,17,0,7,5.5867463949968,4.792571658477055,10.37931805347385,0.6703591650177877,9e-05,0.956038,0.789418,0.325753,0.891439,0.74324,0.443935,0.252737,0.5528105483468191
2,Panthers,4,2,0,0,2,34,17,0,7,2.755918189193956,7.284471494724334,10.040389683918292,0.6204022909464703,9.1e-05,0.961346,0.805188,0.341247,0.899574,0.74772,0.43741,0.242368,-0.33044750442303533
3,Sharks,2,1,0,1,3,30,15,0,9,2.071595745735805,4.933081022979435,7.00467676871524,0.06007441930654822,0.000941,0.871033,0.583188,0.121541,0.749251,0.556128,0.288355,0.1439,-0.92393499179509
4,Roosters,2,1,0,1,4,28,14,0,10,4.427033569229093,1.7903886086428764,6.217422177871972,-0.5035937503395426,0.002654,0.771916,0.411376,0.070523,0.621527,0.430647,0.219525,0.109269,0.5905773859278387
5,Broncos,0,0,0,2,7,24,12,0,12,3.1239258443935682,0.40591137376116637,3.5298372181547353,-0.647122253830343,0.015084,0.534948,0.189808,0.017579,0.381121,0.229074,0.106635,0.050014,0.16958360769520395
6,Bulldogs,2,1,0,0,6,26,13,0,11,-1.9586482036746529,3.2568610383072225,1.298212834632568,-0.17340759999513558,0.012104,0.580314,0.233745,0.029908,0.407313,0.238015,0.10044,0.042497,0.4197935539042802
7,Warriors,4,2,0,0,5,28,14,0,10,-0.8662230430560235,1.6952514055459766,0.8290283624899537,0.8095485419065533,0.00562,0.689977,0.318166,0.044172,0.494914,0.290643,0.116793,0.047026,-0.7417709021486825
8,Raiders,2,1,0,1,8,24,12,0,12,0.838366508499492,-0.6778755764928248,0.1604909320066672,-0.3285167533177524,0.020162,0.475335,0.152911,0.015281,0.310067,0.168536,0.06895,0.028402,0.2900420270492925
9,Manly,0,0,0,2,10,22,11,0,13,0.6525760084997794,-0.9619324413729322,-0.3093564328731542,-0.48899989766926577,0.045123,0.341416,0.085846,0.005602,0.212336,0.109511,0.043801,0.018439,-0.1564359363846344
10,Dolphins,2,1,0,1,11,22,11,0,13,3.484227787573876,-3.964521874586436,-0.48029408701256093,-0.46428008945197,0.033084,0.391753,0.116878,0.009076,0.250437,0.132991,0.052734,0.021421,0.6484527714641741
11,Eels,2,1,0,1,9,24,12,0,12,0.023549701168404047,-1.95338573673408,-1.929836035565676,-0.14591811240459554,0.032656,0.39542,0.112919,0.009218,0.240877,0.120836,0.044902,0.017225,-0.49704116340885174
12,Cowboys,0,0,0,2,14,18,9,0,15,0.775114714579382,-4.261055923738857,-3.485941209159474,-0.6463438059176682,0.108539,0.18537,0.035377,0.00152,0.104033,0.047682,0.017157,0.006592,0.372551490847473
13,Rabbitohs,2,1,0,1,12,20,10,0,14,-2.5179850512432713,-1.5293352567310037,-4.0473203079742746,0.4020533178145445,0.064747,0.244885,0.054124,0.003285,0.136499,0.06233,0.021816,0.007946,0.6368795210873279
14,Dragons,0,0,0,2,15,18,9,0,15,-1.6616703524155163,-3.989803658951539,-5.651474011367057,-0.06550574782428716,0.134949,0.153637,0.025832,0.00086,0.079007,0.032924,0.010637,0.003635,-1.0312947875750682
15,Knights,4,2,0,0,13,20,10,0,14,-4.753354002567875,-2.195479394747839,-6.948833397315715,0.6503499204061155,0.065185,0.239297,0.050318,0.002752,0.120713,0.049617,0.014842,0.00468,-0.3937908541133138
16,Tigers,2,1,0,0,16,18,9,0,15,-2.779854573959638,-4.399560395622952,-7.179414969582591,0.4006902428860537,0.120912,0.15983,0.029915,0.001573,0.079892,0.032698,0.009946,0.003149,0.21640840601659259
17,Titans,0,0,0,2,17,14,7,0,17,-2.2364381735993493,-7.190467406813423,-9.42690558041277,-0.14978988753351283,0.338059,0.047485,0.004991,0.00011,0.021,0.007408,0.002122,0.0007,-0.1186288131662697
