Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Storm,34,17,0,7,290,717,427
2,Panthers,34,17,0,7,271,627,356
3,Sharks,30,15,0,9,193,625,432
4,Roosters,28,14,0,10,106,638,532
5,Warriors,28,14,0,10,87,575,488
6,Bulldogs,26,13,0,11,18,495,477
7,Broncos,24,12,0,12,32,600,568
8,Raiders,24,12,0,12,-30,550,580
9,Eels,24,12,0,12,-66,551,617
10,Manly,22,11,0,13,-31,566,597
11,Dolphins,22,11,0,13,-37,613,650
12,Rabbitohs,20,10,0,14,-94,500,594
13,Knights,20,10,0,14,-113,473,586
14,Cowboys,18,9,0,15,-117,560,677
15,Dragons,18,9,0,15,-128,510,638
16,Tigers,18,9,0,15,-144,497,641
17,Titans,14,7,0,17,-241,482,723
