Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Bulldogs,34,17,0,7,199,594,395
2,Raiders,34,17,0,7,181,662,481
3,Storm,32,16,0,8,214,689,475
4,Warriors,30,15,0,9,53,551,498
5,Cowboys,28,14,0,10,67,636,569
6,Manly,26,13,0,11,89,583,494
7,Sharks,26,13,0,11,88,566,478
8,Broncos,26,13,0,11,54,575,521
9,Panthers,24,12,0,12,75,578,503
10,Roosters,24,12,0,12,-22,581,603
11,Tigers,22,11,0,13,-75,554,629
12,Dolphins,20,10,0,14,-30,555,585
13,Dragons,18,9,0,15,-113,506,619
14,Knights,18,9,0,15,-136,358,494
15,Rabbitohs,18,9,0,15,-171,379,550
16,Eels,16,8,0,16,-205,441,646
17,Titans,12,6,0,18,-270,496,766
