Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Roosters,24,12,0,11,8,26,13,0,11,9.403326199671971,1.2892128069981212,10.692539006670094,0.6337437672653372,0.0,0.957561,0.0,0.0,0.590354,0.317068,0.166645,0.098453,-2.9390873359465606
2,Raiders,38,19,0,4,1,40,20,0,4,1.9351177861124444,5.844785525751931,7.779903311864375,0.5850855924271069,0.0,1.0,1.0,1.0,1.0,0.825792,0.452309,0.232195,-3.6411381858755476
3,Storm,34,17,0,6,2,34,17,0,7,2.760595617116161,4.295265762484095,7.055861379600257,-0.9509322890323952,0.0,1.0,1.0,0.0,1.0,0.82335,0.429385,0.216002,5.579875303096786
4,Bulldogs,32,16,0,7,3,34,17,0,7,-1.7128747664918198,8.65608845597722,6.943213689485402,0.6749132288432483,0.0,1.0,1.0,0.0,1.0,0.776221,0.393139,0.195653,4.03929402402795
5,Broncos,28,14,0,9,4,30,15,0,9,5.280399449569513,0.29947585352727013,5.579875303096786,1.8554819805840854,0.0,1.0,0.74354,0.0,0.861786,0.597063,0.297992,0.144912,7.055861379600257
6,Panthers,25,12,1,10,7,27,13,1,10,-0.5876833705121125,4.770242308205631,4.182558937693518,-1.8574518396495179,0.0,1.0,0.0,0.0,0.51742,0.208173,0.081573,0.036015,-5.736193161749976
7,Sharks,28,14,0,9,5,28,14,0,10,3.655196262991713,0.38409776103623994,4.03929402402795,0.11608163674349321,0.0,1.0,0.150506,0.0,0.555179,0.269098,0.119167,0.055094,6.943213689485402
8,Manly,22,11,0,12,9,24,12,0,12,0.1916488383677426,0.4551726125690606,0.6468214509368053,0.9465941428193426,0.0,0.00053,0.0,0.0,0.000253,9.4e-05,4.4e-05,1.4e-05,-0.512003871430196
9,Warriors,28,14,0,9,6,28,14,0,10,-2.115598787544771,1.6035949161145746,-0.512003871430196,0.2707739491258742,0.0,1.0,0.105954,0.0,0.459529,0.17783,0.058206,0.021108,0.6468214509368053
10,Eels,18,9,0,14,11,20,10,0,14,-3.511658386368489,1.6897774072111882,-1.8218809791572994,1.3140073190868264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.06462976730515
11,Cowboys,19,9,1,14,13,19,9,1,14,3.097673700140327,-5.476013462327226,-2.3783397621868962,0.8259839031527451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,Rabbitohs,18,9,0,14,14,18,9,0,15,-1.5244779989552206,-1.4146093369913422,-2.9390873359465606,1.9873909376798136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.692539006670094
13,Dolphins,22,11,0,12,10,22,11,0,13,4.599497111251241,-8.240635297126795,-3.6411381858755476,-1.9007042131956184,0.0,0.041909,0.0,0.0,0.015479,0.005311,0.00154,0.000554,7.779903311864375
14,Dragons,16,8,0,15,15,16,8,0,16,-2.013216167168136,-3.722976994581842,-5.736193161749976,-2.2263033569434887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.182558937693518
15,Tigers,18,9,0,14,12,20,10,0,14,-3.033088917437967,-2.8274705484817453,-5.860559465919711,0.5809094888232188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.966234573803815
16,Titans,10,5,0,18,17,10,5,0,19,-1.3172712379379208,-8.648963335865897,-9.966234573803815,-0.8815525209593119,0.638446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.860559465919711
17,Knights,12,6,0,17,16,12,6,0,18,-4.170550167189112,-9.89407960011604,-14.06462976730515,-1.549794589147459,0.361554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8218809791572994
