Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,38,19,0,5,183,665,482
2,Storm,34,17,0,7,263,692,429
3,Bulldogs,34,17,0,7,129,535,406
4,Panthers,29,14,1,9,135,583,448
5,Sharks,28,14,0,10,54,544,490
6,Warriors,28,14,0,10,15,504,489
7,Broncos,26,13,0,11,106,611,505
8,Roosters,26,13,0,11,106,649,543
9,Dolphins,24,12,0,12,129,664,535
10,Manly,22,11,0,13,-14,494,508
11,Dragons,20,10,0,14,-43,537,580
12,Tigers,20,10,0,14,-142,466,608
13,Cowboys,19,9,1,14,-170,508,678
14,Eels,18,9,0,15,-165,437,602
15,Rabbitohs,16,8,0,16,-218,421,639
16,Titans,14,7,0,17,-178,491,669
17,Knights,14,7,0,17,-188,358,546
