Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,32,16,0,5,2,36,18,0,6,4.841501153202716,6.601336653359589,11.442837806562308,0.6589498470919287,0.0,1.0,1.0,0.398348,1.0,0.870567,0.539506,0.314913,5.145559718495913
2,Roosters,22,11,0,10,8,26,13,0,11,9.789168795652493,0.9761162649202411,10.765285060572731,2.528792044592327,0.0,0.832749,0.017066,0.0,0.537746,0.311788,0.165583,0.09845,-0.4565013692378977
3,Panthers,25,12,1,8,5,29,14,1,9,2.0753475538917217,6.144849611596587,8.22019716548831,-0.2695461523273354,0.0,0.985952,0.254635,0.0,0.664621,0.41423,0.2228,0.119223,3.2572825629143183
4,Raiders,34,17,0,4,1,38,19,0,5,5.007751862455815,2.226078112037949,7.233829974493766,0.3078336292893991,0.0,1.0,1.0,0.586698,1.0,0.81606,0.413247,0.195822,1.0308237928394994
5,Sharks,26,13,0,9,7,28,14,0,10,1.0963999409166765,3.268375170669028,4.364775111585705,0.8297485432680028,0.0,0.98853,0.283414,0.0,0.628319,0.352145,0.155773,0.066897,-4.5298063522549565
6,Bulldogs,30,15,0,6,3,32,16,0,8,-4.099286422860412,7.043734928233531,2.9444485053731206,-0.9050844864099058,0.0,1.0,0.862356,0.014954,0.917846,0.613342,0.257258,0.106917,8.009270027878774
7,Broncos,24,12,0,9,6,28,14,0,10,0.6088975325895549,1.1180480569523312,1.7269455895418884,0.9065095687920137,0.0,0.912269,0.137819,0.0,0.469049,0.225575,0.092566,0.040083,-0.942652425190813
8,Dolphins,20,10,0,11,9,24,12,0,12,4.462698696389344,-4.117298664224776,0.3454000321645676,-1.8573285897861307,0.0,0.284541,3.8e-05,0.0,0.129055,0.054879,0.020993,0.009045,-2.290710502166741
9,Warriors,26,13,0,8,4,30,15,0,9,-4.266613504870344,4.291549346751017,0.024935841880677767,-0.051320915720090454,0.0,0.991786,0.444672,0.0,0.65144,0.340658,0.131999,0.048561,-6.948674557672983
10,Dragons,16,8,0,13,11,20,10,0,14,-0.8499829594334058,0.44355216830947186,-0.4064307911239313,0.8746517139894122,3e-06,2.9e-05,0.0,0.0,1.8e-05,1e-05,3e-06,3e-06,-0.7248488502328515
11,Cowboys,17,8,1,13,13,19,9,1,14,-0.3022342797567241,-1.9644995924949913,-2.266733872251713,0.6486353531361436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8730901147962455
12,Manly,18,9,0,12,10,20,10,0,14,-5.869824970726209,1.5473609767903849,-4.322463993935823,-1.8712483507629176,0.0,0.003567,0.0,0.0,0.001656,0.000654,0.000238,7.8e-05,-0.01203163902622865
13,Tigers,18,9,0,12,12,20,10,0,14,-1.9355636331385644,-3.5375621859958173,-5.4731258191343795,0.9207357902808705,0.0,0.000577,0.0,0.0,0.00025,9.2e-05,3.4e-05,8e-06,-1.6054671282720374
14,Rabbitohs,16,8,0,14,14,18,9,0,15,-2.9312633867727373,-3.141016335478305,-6.072279722251041,-0.057755657493354096,0.002161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1794271347244
15,Eels,14,7,0,14,15,16,8,0,16,-7.14981130320525,0.4097491111802899,-6.7400621920249595,-0.19741399572255258,0.041384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40461343580987474
16,Titans,10,5,0,16,17,12,6,0,18,-2.4151894545675536,-7.368308032490614,-9.783497487058165,-0.8441661553993112,0.564768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7009299816963779
17,Knights,12,6,0,15,16,14,7,0,17,-6.7782724936541126,-5.225788716228923,-12.004061209883034,-2.33234779734862,0.391684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2161138302991219
