Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Storm,36,18,0,6,329,734,405
2,Bulldogs,34,17,0,7,205,543,338
3,Manly,28,14,0,10,98,624,526
4,Broncos,26,13,0,11,63,578,515
5,Warriors,26,13,0,11,31,496,465
6,Cowboys,26,13,0,11,31,561,530
7,Raiders,26,13,0,11,28,524,496
8,Panthers,24,12,0,12,60,565,505
9,Sharks,24,12,0,12,51,533,482
10,Rabbitohs,24,12,0,12,-69,418,487
11,Knights,22,11,0,13,-64,353,417
12,Roosters,20,10,0,14,-91,489,580
13,Dragons,18,9,0,15,-88,488,576
14,Titans,18,9,0,15,-125,503,628
15,Dolphins,16,8,0,16,-108,403,511
16,Tigers,16,8,0,16,-154,509,663
17,Eels,16,8,0,16,-198,394,592
