Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Storm,38,19,0,5,381,788,407
2,Panthers,32,16,0,8,199,641,442
3,Manly,32,16,0,8,199,695,496
4,Bulldogs,28,14,0,10,97,546,449
5,Cowboys,28,14,0,10,73,643,570
6,Sharks,26,13,0,11,93,609,516
7,Raiders,26,13,0,11,66,518,452
8,Roosters,26,13,0,11,27,656,629
9,Knights,26,13,0,11,10,411,401
10,Broncos,22,11,0,13,-47,550,597
11,Dolphins,20,10,0,14,-62,453,515
12,Warriors,20,10,0,14,-80,494,574
13,Dragons,18,9,0,15,-148,563,711
14,Eels,18,9,0,15,-153,636,789
15,Titans,18,9,0,15,-169,441,610
16,Rabbitohs,16,8,0,16,-211,406,617
17,Tigers,12,6,0,18,-276,444,720
