Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,36,18,0,6,149,638,489
2,Storm,34,17,0,7,291,713,422
3,Bulldogs,32,16,0,8,115,483,368
4,Warriors,32,16,0,8,67,534,467
5,Broncos,28,14,0,10,86,591,505
6,Panthers,27,13,1,10,80,507,427
7,Sharks,26,13,0,11,38,554,516
8,Dolphins,24,12,0,12,179,670,491
9,Manly,24,12,0,12,47,533,486
10,Roosters,24,12,0,12,39,593,554
11,Cowboys,19,9,1,14,-159,481,640
12,Dragons,18,9,0,15,-85,515,600
13,Knights,18,9,0,15,-117,357,474
14,Tigers,18,9,0,15,-134,459,593
15,Rabbitohs,18,9,0,15,-175,448,623
16,Eels,16,8,0,16,-187,438,625
17,Titans,12,6,0,18,-237,461,698
