, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins, Bulldogs, Dolphins
, Eels, Eels, Manly, Manly, Eels, Eels, Manly, Manly, Eels, Eels, Manly, Manly, Eels, Eels, Manly, Manly, Eels, Eels, Manly, Manly, Eels, Eels, Manly, Manly, Eels, Eels, Manly, Manly, Eels, Eels, Manly, Manly
, Panthers, Panthers, Panthers, Panthers, Knights, Knights, Knights, Knights, Panthers, Panthers, Panthers, Panthers, Knights, Knights, Knights, Knights, Panthers, Panthers, Panthers, Panthers, Knights, Knights, Knights, Knights, Panthers, Panthers, Panthers, Panthers, Knights, Knights, Knights, Knights
, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks
, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders
Storm, 68.06044989205377, 69.75902184235517, 65.78845674930656, 68.00812123848887, 70.15216181109668, 71.21212121212122, 67.55540555743053, 70.20057306590259, 66.98476331575813, 68.69728209934397, 64.35496030866113, 66.3610772976263, 69.4017589639509, 70.71980479869866, 66.50695060632948, 66.87056520675311, 68.05946598186937, 70.2581369248036, 65.89978627404417, 67.37152791816601, 70.1097352260143, 73.52808988764045, 67.88605132710046, 69.68911917098445, 66.75303774040397, 69.33296429559923, 64.2916744382381, 66.49331980382208, 69.19325771228665, 72.27456258411844, 65.99921986737746, 69.79077099455432
Bulldogs, 89.25412633191726, 72.72673314339981, 87.71651109069207, 70.4807483141179, 90.84245685655966, 75.5980861244019, 89.78512768590393, 73.82999044890163, 87.9486397373887, 70.3030303030303, 86.51204044525255, 68.06527693244065, 89.79414322992172, 73.56649044326961, 88.54185152321799, 71.10349889894788, 89.56715448160638, 72.98474945533769, 88.33911184991689, 71.18020458496746, 91.7245545152522, 76.4494382022472, 90.38714940076551, 75.23316062176167, 88.45739116440011, 71.92084140603376, 87.01542206995396, 68.78488077118215, 90.27880843846073, 73.62045760430686, 89.14315433623716, 71.65376898824877
Sharks, 40.12814262831674, 41.89221272554606, 37.07202294566721, 39.15234573272424, 41.464093523844866, 42.18500797448166, 38.55889301383733, 40.56829035339064, 70.61019361773208, 72.18369259606374, 67.72451106479222, 69.73904443091905, 70.14593602010245, 72.38714924766165, 68.44128955930198, 70.49180327868852, 41.96807029485473, 44.16055984683436, 39.19544051294229, 40.290300408361304, 44.46793516560958, 45.39325842696629, 40.798142686829394, 41.398963730569946, 72.29419811700329, 73.07639081096042, 69.20199868455927, 70.53948926095045, 72.9672426587512, 73.35127860026918, 70.54999349889482, 73.02952135282315
Panthers, 16.17800682498781, 19.290123456790123, 15.541567553177785, 18.48669422086868, 4.267953238077565, 6.020733652312599, 3.9880751490606365, 5.468003820439351, 14.44797885165657, 17.656982193064668, 13.644950995609562, 16.91646378575776, 4.049482941915531, 4.7986986579910536, 3.4664300502809815, 4.7467580132126255, 16.715138764270908, 19.013666072489602, 15.623842317739253, 19.18893785630534, 4.35920668478808, 5.438202247191011, 4.1726799272134025, 5.155440414507772, 14.952925082481695, 17.630777747024634, 13.71592370443814, 17.30931845087096, 3.9011979221880635, 4.351727231942575, 3.465089065141074, 4.729148753224419
Roosters, 19.699143394386795, 20.768043684710353, 17.692723853360697, 18.700601841780873, 20.64390424939692, 22.208931419457738, 18.562267971650353, 19.340974212034386, 4.650892558862405, 4.8609809434551705, 3.889307729832808, 4.1349665246500305, 4.919300280274476, 5.24603497356649, 3.8568470866607516, 4.232933692194764, 18.5823458432598, 19.455997887370437, 16.472096889099976, 17.620183560425343, 18.463706835799858, 20.224719101123593, 16.872686201920057, 18.65284974093264, 4.105576567152169, 4.705231109880986, 3.4613761080624736, 4.063081346186369, 4.208629280186579, 4.665769403319874, 3.770641008971525, 4.069934078532531
Raiders, 50.465909882303784, 50.24335232668567, 46.80160413571606, 47.18294539917338, 51.04843199109297, 49.72089314194577, 47.89627629654629, 48.51957975167144, 48.55258762182812, 50.034364261168385, 44.88536076987893, 45.74330493000608, 49.66657002029574, 50.02033346888979, 45.661047027506655, 47.78566185466112, 79.61232635128863, 79.6593384828679, 77.30895274281643, 77.60077629078559, 80.35840128863386, 81.52808988764045, 77.41733073978791, 78.47150259067357, 79.56224350205198, 79.76750622751176, 76.65583555027634, 76.5432098765432, 79.87914767306266, 80.43965903992823, 76.86906774151606, 76.09630266552021
