Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,12,6,0,4,2,32,16,0,8,7.965526680323939,3.1204569472948647,11.085983627618806,-0.09253446732899835,4.8e-05,0.923401,0.666518,0.160857,0.809626,0.643515,0.390975,0.226618,-0.03796208274245062
2,Bulldogs,18,9,0,1,1,36,18,0,6,2.145865861128294,6.268353643682027,8.414219504810323,0.6294678747698226,0.0,0.97975,0.849179,0.46658,0.904783,0.711998,0.37998,0.194238,0.9140103294381099
3,Sharks,14,7,0,4,5,30,15,0,9,4.29623654978043,2.863322062191378,7.159558611971809,1.0569858018098428,7.2e-05,0.889717,0.545412,0.093358,0.721645,0.516992,0.273349,0.138448,-0.26085016483678036
4,Panthers,7,3,1,6,7,25,12,1,11,3.888529748549845,1.2646388051620114,5.153168553711859,0.24829547443408365,0.009384,0.578603,0.140897,0.005959,0.394832,0.240817,0.123066,0.065612,-2.0920017086315483
5,Roosters,8,4,0,6,9,24,12,0,12,5.008661265185363,-0.6315745100312344,4.37708675515413,1.6968522031419582,0.011621,0.449079,0.112502,0.005947,0.312179,0.195222,0.103344,0.056775,1.5402338742276913
6,Raiders,16,8,0,3,3,32,16,0,8,4.5794546352604595,-1.1694878802146773,3.4099667550457813,-0.16095797916611118,3.9e-05,0.915525,0.619848,0.119924,0.739485,0.491387,0.214883,0.09076,-3.018948711221528
7,Manly,10,5,0,5,6,26,13,0,11,-0.24606673877104895,3.592369782896451,3.346303044125405,0.9160822804012722,0.002244,0.705956,0.26145,0.024712,0.483087,0.295229,0.140236,0.066216,-1.8949515415442764
8,Cowboys,9,4,1,5,8,25,12,1,11,4.082525894366447,-2.749740680519407,1.3327852138470413,-1.735872009900311,0.012332,0.482781,0.111363,0.005049,0.304225,0.17057,0.078682,0.038062,-0.8991505394214034
9,Warriors,16,8,0,2,4,32,16,0,8,-3.810861661355106,5.0687033769469405,1.257841715591836,0.553007924162466,0.000125,0.87731,0.529551,0.112292,0.662072,0.406929,0.16341,0.064299,-1.9529298928234469
10,Dragons,8,4,0,6,13,20,10,0,14,-0.2822834556423892,-1.9500178120735479,-2.2323012677159335,0.49116589172432396,0.042742,0.212511,0.037097,0.001231,0.130479,0.070213,0.030691,0.014507,1.811369870652385
11,Dolphins,8,4,0,7,12,20,10,0,14,-2.7541585807218216,0.19300719880223327,-2.561151381919588,-0.3746846637648551,0.036109,0.207524,0.022455,0.000306,0.116671,0.057092,0.023117,0.010499,0.09138028838265227
12,Rabbitohs,12,6,0,5,10,22,11,0,13,-6.268358986594637,3.3437273439078252,-2.9246316426868106,0.24549026002522134,0.010636,0.309874,0.054999,0.002586,0.174228,0.086108,0.034738,0.015162,1.639168747520374
13,Eels,6,3,0,7,14,18,9,0,15,-3.3657473697178597,-0.6299058068568455,-3.9956531765747028,0.7610357365319382,0.141313,0.094561,0.00768,8.2e-05,0.05442,0.027275,0.011377,0.005403,1.0062800470141535
14,Broncos,10,5,0,6,11,20,10,0,14,-1.3079381172856133,-3.5105697194527785,-4.818507836738389,-1.9935240920267479,0.026081,0.22725,0.030521,0.001025,0.119224,0.055725,0.021427,0.009073,0.4189812029852842
15,Titans,6,3,0,7,16,16,8,0,16,1.8152778936985574,-11.102599081015033,-9.287321187316474,0.38576939183921777,0.24143,0.052676,0.003272,2e-05,0.02648,0.011292,0.003999,0.001664,-0.5428558362947754
16,Tigers,10,5,0,6,15,18,9,0,15,-1.6966153758888025,-7.8408907820749825,-9.537506157963783,-1.2240470124005747,0.102741,0.070822,0.005933,6.8e-05,0.034637,0.014374,0.004823,0.001852,1.6891502103371936
17,Knights,6,3,0,7,17,14,7,0,17,-9.576274063836626,-0.6035670671246554,-10.17984113096128,-0.5107490071062007,0.363083,0.02266,0.001323,4e-06,0.011927,0.005262,0.001903,0.000812,2.2913011373482632
