Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Bulldogs,36,18,0,6,218,606,388
2,Storm,32,16,0,8,278,750,472
3,Raiders,32,16,0,8,142,663,521
4,Warriors,32,16,0,8,44,483,439
5,Sharks,30,15,0,9,165,619,454
6,Manly,26,13,0,11,105,567,462
7,Panthers,25,12,1,11,96,609,513
8,Cowboys,25,12,1,11,-2,599,601
9,Roosters,24,12,0,12,-7,581,588
10,Rabbitohs,22,11,0,13,-108,387,495
11,Broncos,20,10,0,14,-23,552,575
12,Dolphins,20,10,0,14,-26,504,530
13,Dragons,20,10,0,14,-65,509,574
14,Eels,18,9,0,15,-170,436,606
15,Tigers,18,9,0,15,-198,491,689
16,Titans,16,8,0,16,-215,536,751
17,Knights,14,7,0,17,-233,314,547
