Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,2,1,0,0,1,38,19,0,5,9.61216794901249,6.561364240618889,16.17353218963138,0.7794440276049303,0.000116,0.95458,0.804452,0.419205,0.888112,0.755154,0.481544,0.294026,0.048579572043933456
2,Panthers,2,1,0,0,2,32,16,0,8,4.061263482724564,4.908186595605043,8.969450078329608,-0.13201172948047576,0.002007,0.831586,0.548395,0.150777,0.695418,0.509061,0.263653,0.130747,-0.5135690523258918
3,Manly,2,1,0,0,3,32,16,0,8,6.0117269867618095,0.9530807368855437,6.964807723647359,0.9230250226311417,0.002723,0.801516,0.501486,0.127912,0.654836,0.467065,0.235141,0.114658,-0.46726025464105453
4,Sharks,0,0,0,1,6,26,13,0,11,4.039885961827309,1.330885812954795,5.370771774782105,0.13201172948047576,0.011186,0.618977,0.293251,0.047503,0.469348,0.31019,0.154099,0.075034,0.2390083768079885
5,Cowboys,0,0,0,1,5,28,14,0,10,5.823493596204026,-1.927981118944174,3.895512477259854,-0.9230250226311417,0.012404,0.617032,0.287592,0.047588,0.465809,0.306849,0.151231,0.073672,0.00843109118480391
6,Roosters,0,0,0,1,8,26,13,0,11,7.607823108351364,-3.807421161025782,3.800401947325585,-1.104727099979029,0.017709,0.53998,0.229435,0.034074,0.398903,0.25788,0.127797,0.062935,0.5448680083452241
7,Bulldogs,2,1,0,0,4,28,14,0,10,-1.317160992455919,4.552990082949954,3.2358290904940343,0.3016631899189944,0.006387,0.681673,0.351103,0.062631,0.511603,0.332054,0.153067,0.069298,-0.41680746460401324
8,Raiders,2,1,0,0,7,26,13,0,11,-2.798650557607928,3.477711484736105,0.6790609271281802,0.8042154977296071,0.013341,0.596659,0.267802,0.039233,0.420366,0.252284,0.106625,0.04458,-1.2111014117639423
9,Knights,2,1,0,0,9,26,13,0,11,-7.548163858540494,7.247126734684365,-0.30103712385612846,-0.5993494691348348,0.015498,0.518668,0.207287,0.027913,0.353597,0.20552,0.085581,0.035506,-0.18194588404378614
10,Warriors,0,0,0,1,12,20,10,0,14,-1.3283647001233958,-1.9098405866820936,-3.238205286805487,-0.8042154977296071,0.063396,0.31701,0.091508,0.007078,0.198864,0.105999,0.042743,0.017702,-0.9884253424928976
11,Dolphins,0,0,0,1,11,20,10,0,14,-4.033537636762089,0.5479524275973365,-3.4855852091647517,-0.48472344067905965,0.055506,0.317469,0.093936,0.007505,0.203943,0.111218,0.045612,0.019172,-0.14155144398329353
12,Broncos,2,1,0,0,10,22,11,0,13,-0.06751227416463701,-3.922369891432,-3.9898821655966357,1.104727099979029,0.041775,0.361229,0.117442,0.013434,0.228622,0.124375,0.050032,0.020539,0.22885420615955354
13,Eels,0,0,0,1,14,18,9,0,15,6.442680442319307,-11.636845987216306,-5.194165544896998,-0.7794440276049303,0.101724,0.229762,0.063747,0.005388,0.145975,0.079181,0.032832,0.013877,0.31170017598712935
14,Dragons,0,0,0,1,13,18,9,0,15,2.0769430245422913,-8.288375320242901,-6.211432295700611,-0.3016631899189944,0.115663,0.204555,0.050988,0.003341,0.125946,0.065834,0.026397,0.011023,0.2988654064250142
15,Titans,0,0,0,0,15,18,9,0,15,-3.741237050548227,-3.8458821456876784,-7.5871191962359035,0,0.134263,0.187957,0.047018,0.003488,0.111662,0.056078,0.020886,0.008184,-0.2907886663141874
16,Rabbitohs,2,1,0,0,16,16,8,0,16,-5.583362511083059,-2.136836978023005,-7.7201994891060615,0.48472344067905965,0.123927,0.149698,0.032318,0.002379,0.086921,0.042739,0.015991,0.006401,1.5247334829726764
17,Tigers,0,0,0,1,17,12,6,0,18,-3.1624062904285637,-8.199333606806935,-11.361739897235497,0.5993494691348348,0.282375,0.071649,0.01224,0.000551,0.040075,0.018519,0.006769,0.002646,0.6891774380722668
