Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,40,20,0,4,198,663,465
2,Storm,34,17,0,7,224,679,455
3,Bulldogs,34,17,0,7,144,550,406
4,Broncos,30,15,0,9,160,676,516
5,Sharks,28,14,0,10,85,591,506
6,Warriors,28,14,0,10,17,509,492
7,Panthers,27,13,1,10,94,560,466
8,Roosters,26,13,0,11,117,651,534
9,Manly,24,12,0,12,25,551,526
10,Dolphins,22,11,0,13,75,680,605
11,Eels,20,10,0,14,-114,468,582
12,Tigers,20,10,0,14,-124,477,601
13,Cowboys,19,9,1,14,-146,538,684
14,Rabbitohs,18,9,0,15,-166,440,606
15,Dragons,16,8,0,16,-117,495,612
16,Knights,12,6,0,18,-262,342,604
17,Titans,10,5,0,19,-210,509,719
