Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,36,18,0,6,209,670,461
2,Bulldogs,36,18,0,6,171,597,426
3,Storm,34,17,0,7,301,731,430
4,Warriors,34,17,0,7,115,557,442
5,Dolphins,26,13,0,11,152,626,474
6,Sharks,26,13,0,11,42,573,531
7,Manly,24,12,0,12,44,555,511
8,Roosters,24,12,0,12,28,601,573
9,Panthers,23,11,1,12,4,494,490
10,Cowboys,21,10,1,13,-79,561,640
11,Broncos,20,10,0,14,-10,559,569
12,Rabbitohs,20,10,0,14,-159,424,583
13,Dragons,18,9,0,15,-119,481,600
14,Eels,18,9,0,15,-143,425,568
15,Tigers,18,9,0,15,-150,485,635
16,Knights,16,8,0,16,-157,340,497
17,Titans,14,7,0,17,-249,492,741
