Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Bulldogs,36,18,0,6,243,632,389
2,Storm,34,17,0,7,309,752,443
3,Raiders,32,16,0,8,147,651,504
4,Warriors,30,15,0,9,29,496,467
5,Sharks,28,14,0,10,130,586,456
6,Cowboys,27,13,1,10,50,650,600
7,Panthers,25,12,1,11,93,607,514
8,Manly,24,12,0,12,41,558,517
9,Roosters,24,12,0,12,-31,577,608
10,Broncos,22,11,0,13,7,546,539
11,Dolphins,22,11,0,13,-9,535,544
12,Rabbitohs,20,10,0,14,-133,391,524
13,Dragons,18,9,0,15,-88,477,565
14,Tigers,18,9,0,15,-168,524,692
15,Knights,16,8,0,16,-176,334,510
16,Titans,16,8,0,16,-218,517,735
17,Eels,14,7,0,17,-223,406,629
